element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Type,
N,1,,,427.328,,,8.28e+05,C+,,
N,1,,,427.813,,,5.01e+06,C+,,
N,1,,,427.917,,,3.61e+05,C+,,
N,1,,,429.216,,,5.57e+05,C+,,
N,1,,,429.321,,,5.21e+06,C+,,
N,3,,,431.878,,,5.40e+06,B,,
N,2,,,431.906,,,5.59e+03,B,,
N,3,,,432.122,,,1.08e+07,B,,
N,3,,,432.139,,,5.03e+06,B,,
N,3,,,432.543,,,8.60e+06,B,,
N,3,,,432.769,,,3.06e+06,B,,
N,3,,,432.788,,,1.07e+07,B,,
N,3,433.291,,433.295,,90,1.23e+07,B,,
N,5,,,433.342,,,3.66e+07,B,,
